No,시도,구군,평균,사회안전에 대한 인식 b),인구 천명당 cctv 대수 b),인구 십만명당 응급의료기관 및 응급실 운영기관수,단위면적당 지역경찰관서 수,지역안전등급 현황 중 '교통사고 및 화재' a)
166,전라남도,여수시,0.2859,0.5267,0.2798,0.4168,0.3575,0.3014
167,전라남도,순천시,0.4881,0.5931,0.216,0.6297,0.328,0.7117
168,전라남도,나주시,0.3256,0.6826,0.4562,0.5174,0.3269,0.0162
169,전라남도,광양시,0.4471,0.5821,0.2074,0.3787,0.3255,0.8638
170,전라남도,담양군,0.4273,0.7435,0.3108,0.6252,0.3184,0.3014
171,전라남도,곡성군,0.4876,0.5398,0.4267,0.8915,0.3177,0.3014
172,전라남도,구례군,0.796,0.5391,0.888,0.9284,0.319,0.7117
173,전라남도,고흥군,0.715,0.6544,0.6818,0.9824,0.3213,0.5075
174,전라남도,보성군,0.6399,0.7479,0.8598,0.9857,0.3164,0.0162
175,전라남도,화순군,0.6547,0.499,0.4597,0.9862,0.3132,0.7117
176,전라남도,장흥군,0.6419,0.5758,0.746,0.9937,0.3151,0.3014
177,전라남도,강진군,0.6645,0.606,0.7809,0.7843,0.3198,0.5075
178,전라남도,해남군,0.5232,0.4806,0.6752,0.9657,0.3157,0.1446
179,전라남도,영암군,0.3806,0.7651,0.2446,0.538,0.3126,0.3014
180,전라남도,무안군,0.5,0.6962,0.8307,0.3626,0.3225,0.3014
181,전라남도,함평군,0.6345,0.7146,0.7378,0.8296,0.3265,0.3014
182,전라남도,영광군,0.6475,0.9592,0.2277,0.9292,0.3248,0.5075
183,전라남도,장성군,0.6643,0.6439,0.6837,0.6397,0.319,0.7117
184,전라남도,완도군,0.7232,0.3996,0.7701,0.9463,0.344,0.7117
185,전라남도,진도군,0.6804,0.9662,0.8352,0.866,0.3231,0.0549
186,전라남도,신안군,0.6037,0.7135,0.7655,0.7034,0.3354,0.3014
187,경상북도,포항시,0.2703,0.1934,0.2903,0.2989,0.3419,0.7117
188,경상북도,경주시,0.1795,0.4242,0.3508,0.1679,0.3244,0.3014
189,경상북도,김천시,0.2369,0.6305,0.2248,0.4184,0.3196,0.1446
190,경상북도,안동시,0.4685,0.7735,0.6418,0.5446,0.3161,0.1446
191,경상북도,구미시,0.2672,0.2339,0.3064,0.2342,0.3409,0.7117
192,경상북도,영주시,0.6277,0.4158,0.7164,0.934,0.3163,0.5075
193,경상북도,영천시,0.2148,0.6465,0.3918,0.2999,0.3182,0.0162
194,경상북도,상주시,0.3812,0.6662,0.5423,0.5864,0.3135,0.0549
195,경상북도,문경시,0.471,0.42,0.7649,0.7877,0.3108,0.1446
196,경상북도,경산시,0.2344,0.7078,0.302,0.2466,0.3293,0.1446
197,경상북도,군위군,0.5793,0.4368,0.5244,0.9662,0.3125,0.5075
198,경상북도,의성군,0.7196,0.6662,0.7413,0.937,0.3089,0.5075
199,경상북도,청송군,0.8442,0.9779,0.9921,0.947,0.31,0.3014
200,경상북도,영양군,0.8188,0.8507,0.9966,0.9986,0.3063,0.3014
201,경상북도,영덕군,0.3569,0.122,0.4002,0.7523,0.3096,0.5075
202,경상북도,청도군,0.3543,0.7767,0.2645,0.6772,0.3106,0.0549
203,경상북도,고령군,0.7428,0.606,0.9607,0.8371,0.3181,0.5075
204,경상북도,성주군,0.4864,0.7637,0.685,0.6547,0.3153,0.0549
205,경상북도,칠곡군,0.4379,0.2178,0.5767,0.2645,0.3225,0.9492
206,경상북도,예천군,0.4022,0.2895,0.7653,0.5526,0.3165,0.3014
207,경상북도,봉화군,0.6992,0.4242,0.8213,0.8392,0.3044,0.7117
208,경상북도,울진군,0.3581,0.3545,0.3358,0.5877,0.3096,0.5075
209,경상북도,울릉군,1,0.9515,0.6573,1,0.3936,0.9852
210,경상남도,진주시,0.3993,0.2306,0.2728,0.6745,0.3272,0.7117
211,경상남도,통영시,0.3615,0.4792,0.5219,0.2424,0.3541,0.5075
212,경상남도,사천시,0.242,0.3118,0.2921,0.5172,0.3304,0.3014
213,경상남도,김해시,0.264,0.1426,0.2305,0.3883,0.3446,0.7117
214,경상남도,밀양시,0.617,0.7735,0.8295,0.7936,0.3173,0.1446
215,경상남도,거제시,0.2521,0.2506,0.3381,0.3565,0.33,0.5075
