No,시도,구군,평균,주관적 건강수준 인지율,인구 십만명당 정신건강증진기관 수,인구 천명당 의료기관 종사 의사수,건강생활실천율,인구 천명당 의료기관병상수
61,광주광역시,서구,0.7003,0.7796,0.4253,0.6224,0.8262,0.8007
62,광주광역시,남구,0.6913,0.6014,0.7301,0.6111,0.5326,0.9457
63,광주광역시,북구,0.5237,0.4047,0.3494,0.5114,0.6557,0.8866
64,광주광역시,광산구,0.4107,0.5711,0.2036,0.4777,0.3204,0.8216
65,대전광역시,동구,0.615,0.9912,0.577,0.4176,0.6775,0.4786
66,대전광역시,중구,0.8593,0.9294,0.751,0.878,0.6667,0.8105
67,대전광역시,서구,0.7111,0.802,0.7084,0.7515,0.6739,0.5576
68,대전광역시,유성구,0.635,0.9448,0.6812,0.4143,0.7966,0.3781
69,대전광역시,대덕구,0.4975,0.429,0.9612,0.4193,0.3947,0.5078
70,울산광역시,중구,0.3388,0.7151,0.2286,0.3594,0.4968,0.3311
71,울산광역시,남구,0.5059,0.8832,0.3097,0.5948,0.3421,0.6128
72,울산광역시,동구,0.4507,0.7256,0.311,0.6304,0.4532,0.4206
73,울산광역시,북구,0.2201,0.4597,0.2522,0.2698,0.473,0.242
74,울산광역시,울주군,0.5847,0.9991,0.47,0.2897,0.7733,0.4989
75,세종특별자치시,세종시,0.232,0.7308,0.4108,0.3177,0.1283,0.1527
76,경기도,수원시,0.3975,0.4474,0.4081,0.5417,0.6484,0.3003
77,경기도,성남시,0.5489,0.7607,0.2235,0.724,0.8767,0.315
78,경기도,의정부시,0.5362,0.8892,0.2357,0.4862,0.8574,0.3851
79,경기도,안양시,0.4105,0.5527,0.162,0.5299,0.9046,0.2443
80,경기도,부천시,0.5367,0.895,0.1975,0.5182,0.758,0.4867
81,경기도,광명시,0.3612,0.4474,0.1785,0.4045,0.9917,0.1911
82,경기도,평택시,0.1359,0.2298,0.2613,0.3531,0.2924,0.252
83,경기도,동두천시,0.7414,0.9737,0.5478,0.3866,0.7938,0.9024
84,경기도,안산시,0.2814,0.1466,0.2067,0.4492,0.6259,0.4928
85,경기도,고양시,0.3542,0.5218,0.1717,0.54,0.5524,0.4015
86,경기도,과천시,0.495,0.895,0.4465,0.3058,0.99,0.0654
87,경기도,구리시,0.567,0.9545,0.157,0.6352,0.7703,0.4494
88,경기도,남양주시,0.1406,0.1691,0.1257,0.3028,0.5088,0.2996
89,경기도,오산시,0.2476,0.1853,0.6016,0.3721,0.2722,0.3661
90,경기도,시흥시,0.2895,0.8063,0.1892,0.3087,0.3606,0.2859
91,경기도,군포시,0.3599,0.5772,0.1359,0.4012,0.821,0.2733
92,경기도,의왕시,0.3316,0.4168,0.1856,0.2911,0.7938,0.4178
93,경기도,하남시,0.221,0.5833,0.1409,0.2796,0.5681,0.1282
94,경기도,용인시,0.2603,0.6134,0.1726,0.3268,0.4849,0.2462
